EmployeeId,Age,Ageband,Gender,Department,JobRole,BusinessTravel,MaritalStatus,TenureBand,YearsInCurrentRole,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,PerformanceRating,MonthlyIncome,OverTime,Attrition,AttritionFlag,YearsAtCompany
1,41,35-44,Female,Sales,Sales Executive,Travel_Rarely,Single,5-10 Years,4,3,4,2,1,1,3,5993,true,true,1,6
2,49,45-54, Male,Research & Development,Research Scientist,Travel_Frequently,Married,10+ Years,7,2,2,3,4,3,4,5130,false,false,0,10
4,37,35-44, Male,Research & Development,Laboratory Technician,Travel_Rarely,Single,<1Year,0,2,3,4,2,3,3,2090,true,true,1,0
5,33,25-34,Female,Research & Development,Research Scientist,Travel_Frequently,Married,5-10 Years,7,3,3,4,3,3,3,2909,true,false,0,8
7,27,25-34, Male,Research & Development,Laboratory Technician,Travel_Rarely,Married,1-3 Years,2,3,2,1,4,3,3,3468,false,false,0,2
8,32,25-34, Male,Research & Development,Laboratory Technician,Travel_Frequently,Single,5-10 Years,7,3,4,4,3,2,3,3068,false,false,0,7
10,59,55+,Female,Research & Development,Laboratory Technician,Travel_Rarely,Married,1-3 Years,0,4,1,3,1,2,4,2670,true,false,0,1
11,30,25-34, Male,Research & Development,Laboratory Technician,Travel_Rarely,Divorced,1-3 Years,0,3,3,4,2,3,4,2693,false,false,0,1
12,38,35-44, Male,Research & Development,Manufacturing Director,Travel_Frequently,Single,5-10 Years,7,2,3,4,2,3,4,9526,false,false,0,9
13,36,35-44, Male,Research & Development,Healthcare Representative,Travel_Rarely,Married,5-10 Years,7,3,3,3,2,2,3,5237,false,false,0,7
14,35,35-44, Male,Research & Development,Laboratory Technician,Travel_Rarely,Married,5-10 Years,4,4,2,1,3,3,3,2426,false,false,0,5
15,29,25-34,Female,Research & Development,Laboratory Technician,Travel_Rarely,Single,5-10 Years,5,2,3,4,4,3,3,4193,true,false,0,9
16,31,25-34, Male,Research & Development,Research Scientist,Travel_Rarely,Divorced,5-10 Years,2,3,3,1,4,2,3,2911,false,false,0,5
18,34,25-34, Male,Research & Development,Laboratory Technician,Travel_Rarely,Divorced,1-3 Years,2,3,4,2,3,3,3,2661,false,false,0,2
19,28,25-34, Male,Research & Development,Laboratory Technician,Travel_Rarely,Single,3-5  Years,2,2,3,3,2,3,3,2028,true,true,1,4
20,29,25-34,Female,Research & Development,Manufacturing Director,Travel_Rarely,Divorced,10+ Years,9,4,1,2,3,3,3,9980,false,false,0,10
21,32,25-34, Male,Research & Development,Research Scientist,Travel_Rarely,Divorced,5-10 Years,2,4,2,1,4,2,3,3298,true,false,0,6
22,22,<25, Male,Research & Development,Laboratory Technician,Non-Travel,Divorced,1-3 Years,0,4,4,4,2,2,3,2935,true,false,0,1
23,53,45-54,Female,Sales,Manager,Travel_Rarely,Married,10+ Years,8,2,4,1,3,3,3,15427,false,false,0,25
24,38,35-44, Male,Research & Development,Research Scientist,Travel_Rarely,Single,3-5  Years,2,3,4,4,3,3,3,3944,true,false,0,3
26,24,<25,Female,Research & Development,Manufacturing Director,Non-Travel,Divorced,3-5  Years,2,4,3,1,4,2,3,4011,false,false,0,4
27,36,35-44, Male,Sales,Sales Representative,Travel_Rarely,Single,5-10 Years,3,2,1,3,2,3,4,3407,false,true,1,5
28,34,25-34,Female,Research & Development,Research Director,Travel_Rarely,Single,10+ Years,6,3,2,1,3,3,3,11994,false,false,0,12
30,21,<25, Male,Research & Development,Research Scientist,Travel_Rarely,Single,<1Year,0,3,4,3,4,3,3,1232,false,false,0,0
31,34,25-34, Male,Research & Development,Research Scientist,Travel_Rarely,Single,3-5  Years,2,3,1,2,3,3,3,2960,false,true,1,4
32,53,45-54,Female,Research & Development,Manager,Travel_Rarely,Divorced,10+ Years,13,3,3,3,4,2,3,19094,false,false,0,14
33,32,25-34,Female,Research & Development,Research Scientist,Travel_Frequently,Single,10+ Years,2,1,1,2,2,3,4,3919,true,true,1,10
35,42,35-44, Male,Sales,Sales Executive,Travel_Rarely,Married,5-10 Years,7,3,2,3,4,3,3,6825,false,false,0,9
